name,brand,category,colors,description,price,lastSale,releaseDate,url
Nike Dunk Low White/Black,Nike,sneakers,['White/Black'],"From the school-spirited College Colors Program to the vibrant Nike CO.JP collection, Nike Dunks have seen many colorways since the design’s inception in 1985. But with each new colorway, the Dunk’s classic color-blocking has remained in some capacity. Nike put its timeless color-blocking to work with the Nike Dunk Low Retro White Black.",$249.00 ,$286.00 ,2021-03-10,https://stockx.com/nike-dunk-low-retro-white-black-2021
Nike Dunk High White/Game Royal-Total Orange,Nike,sneakers,['White/Game Royal-Total Orange'],The Nike Dunk High Game Royal pays homage to the original 1985 University of Kentucky colorway of the Nike Dunk. It features a white leather upper with Game Royal overlays and Swooshes. A matching sole and woven tongue label add the finishing touches.,$195.00 ,$188.00 ,2021-06-29,https://stockx.com/nike-dunk-high-game-royal
Jordan 1 Retro AJKO Ghost Green/Ghost Green,Jordan,sneakers,['Ghost Green/Ghost Green'],"Jordan teamed up with pop icon Billie Eilish to release two signature Air Jordan Retro silhouettes in the fall of 2021. The first of the two, the women's Air Jordan 1 AJKO Billie Eilish Ghost Green (W), draws a resemblance to one of Eilish's most well-known hairstyles and motifs.",$276.00 ,$276.00 ,2021-09-30,https://stockx.com/air-jordan-1-retro-ajko-billie-eilish-ghost-green-w
Nike Dunk Low Yellow Strike/Yellow Strike-White,Nike,sneakers,['Yellow Strike/Yellow Strike-White'],The women's Nike Dunk Low Yellow Strike (W) features a white leather upper with pale yellow blotted overlays and plush Yellow Strike suede Swooshes. Matching two-tone soles and woven tongue labels carry this pastel palette across the finish line.,$150.00 ,$149.00 ,2021-08-18,https://stockx.com/nike-dunk-low-yellow-strike-w
Jordan 1 Retro AJKO Storm Blue/White-Black,Jordan,sneakers,['Storm Blue/White-Black'],"In a traditional AJKO canvas fabrication, the Air Jordan 1 KO Storm Blue features a white upper with Storm Blue overlays and black Swooshes. From there, a matching woven Nike Air tongue label and sole completes the retro design.",$186.00 ,$186.00 ,2021-09-29,https://stockx.com/air-jordan-1-retro-ko-high-storm-blue
Nike Dunk Low White/Green Glow-White,Nike,sneakers,['White/Green Glow-White'],"After releasing the Nike Dunk Low Orange Pearl (W) and Nike Dunk Low College Navy (W) in the spring of 2021, Nike delivered yet another women’s exclusive Dunk Low this season with the Nike Dunk Low Green Glow (W). While the Green Glow is the first of its kind, its usage of traditional Dunk color blocking adds a familiarity to the design.",$198.00 ,$348.00 ,2021-04-16,https://stockx.com/nike-dunk-low-green-glow-w
adidas Yeezy Boost 700 Wash Orange/Wash Orange/Wash Orange,adidas,sneakers,['Wash Orange/Wash Orange/Wash Orange'],"The adidas Yeezy Boost 700 Wash Orange features a grey leather, suede, and mesh upper with teal panels and reflective underlays. At the base, a thick Wash Orange Boost midsole contrasts cool tones found in the upper.",$254.00 ,$254.00 ,2021-10-16,https://stockx.com/adidas-yeezy-boost-700-wash-orange
Jordan 12 Retro White/Black-University Red,Jordan,sneakers,['White/Black-University Red'],"The Air Jordan 12 Twist features a white tumbled leather paneled upper with a pebbled leather mudguard. From there, red metallic Jumpman side tabs and eyelets, black woven heel tabs, and a sculptural sole completes the design.",$297.00 ,$297.00 ,2021-07-24,https://stockx.com/air-jordan-12-retro-twist
Nike LD Waffle SF Blue Void/White-Obsidian-White,Nike,sneakers,['Blue Void/White-Obsidian-White'],"The Nike LDWaffle sacai Fragment Blue Void combines the best of both sacai and Fragment's aesthetics. The mesh, leather, and suede construction of the LDWaffle represents sacai's experimental outlook, while the black and Blue Void palette is more reserved, similar to the utilitarian look that many of Fragment's collaborations have.",$272.00 ,$306.00 ,2021-08-27,https://stockx.com/nike-ld-waffle-sf-sacai-fragment-grey-blue-void
Jordan 1 Retro High OG Seafoam/Healing Orange-White,Jordan,sneakers,['Seafoam/Healing Orange-White'],"The women's Air Jordan 1 High Seafoam (W) arrives in a smooth white leather construction with Seafoam Durabuck overlays and Swooshes. On the laces, crisp bronze trimming stands out against the design's subtle coloration.",$249.00 ,$249.00 ,2021-08-12,https://stockx.com/air-jordan-1-high-og-seafoam-w
Nike LD Waffle Net/Orange Blaze-Deep Red-Green Bean,Nike,sneakers,['Net/Orange Blaze-Deep Red-Green Bean'],"Taking cues from the Nike Air Max 1 CLOT Kiss of Death, the Nike LDWaffle sacai CLOT Orange Blaze boasts an off-white translucent and suede upper with Deep Red and Orange Blaze snake-textured Swooshes. From there, a two-toned stacked sole and doubled tongue amplify sacai's unique design aesthetic.",$206.00 ,$206.00 ,2021-09-14,https://stockx.com/nike-ldwaffle-clot-sacai-net-orange-blaze
adidas Yeezy Boost 700 MNVN Blue Tint/Black,adidas,sneakers,['Blue Tint/Black'],The adidas Yeezy Boost 700 MNVN Blue Tint features a Blue Tint nylon upper with reflective graphics and details throughout the design. A thick black Boost sole and tongue adds the finishing touches to the hiking-inspired design.,$254.00 ,$254.00 ,2021-07-05,https://stockx.com/adidas-yeezy-boost-700-mnvn-blue-tint
Nike Dunk Low Midnight Navy/Championship Grey-White,Nike,sneakers,['Midnight Navy/Championship Grey-White'],"The Nike Dunk Low Georgetown arrives with a smooth grey leather upper with Midnight Navy overlays and Swooshes. From there, matching woven Nike Air tongue tags, heel tabs, and Air soles complete the retro design.",$285.00 ,$285.00 ,2021-11-05,https://stockx.com/nike-dunk-low-georgetown
adidas Yeezy Slide Pure/Pure/Pure,adidas,sneakers,['Pure/Pure/Pure'],DISCLAIMER: US and UK sizing is the same and does not require any conversion.,$212.00 ,$212.00 ,2021-04-26,https://stockx.com/adidas-yeezy-slide-pure
adidas Yeezy Foam RNNR Vermillion/Vermillion/Vermillion,adidas,sneakers,['Vermillion/Vermillion/Vermillion'],"The adidas Yeezy Foam RNNR Vermillion features an all-red one piece EVA foam construction with oval cut-outs to provide ventilation. At the base, a cushioned footbed offers support and stability.",$199.00 ,$366.00 ,2021-10-29,https://stockx.com/adidas-yeezy-foam-rnnr-vermillion
Jordan 4 Retro University Blue/Tech Grey-White-Black,Jordan,sneakers,['University Blue/Tech Grey-White-Black'],Jordan Brand paid homage to MJ’s alma mater with the Air Jordan 4 University Blue. The University Blue colorway draws a close resemblance to the extremely rare Air Jordan 4 UNC PE that was given to Tarheel student-athletes in 2019.,$456.00 ,$456.00 ,2021-04-28,https://stockx.com/air-jordan-4-retro-university-blue
adidas Yeezy 500 Clay Brown/Clay Brown/Clay Brown,adidas,sneakers,['Clay Brown/Clay Brown/Clay Brown'],The adidas Yeezy 500 Clay Brown presents an array of materials commonly found in hiking shoes designed to withstand the great outdoors. It is constructed of a Clay Brown mesh upper with leather and suede overlays that wrap the silhouette. A sturdy adiPRENE sole adds a responsive feel to the trail-ready design.,$230.00 ,$249.00 ,2021-09-18,https://stockx.com/adidas-yeezy-500-clay-brown
Jordan 12 Retro Black/Black-Bright Crimson-White,Jordan,sneakers,['Black/Black-Bright Crimson-White'],"With black leather and Durabuck paneled construction, the upper of the Air Jordan 12 Utility sets the stage for its glittery sole to shine. The sole is composed of Nike Grind, a material made of a collection of recycled materials originating from leftover Nike manufacturing materials.",$221.00 ,$238.00 ,2021-08-21,https://stockx.com/air-jordan-12-retro-utility
Jordan 6 Retro Black/Light Graphite-Dark Grey-Bordeaux,Jordan,sneakers,['Black/Light Graphite-Dark Grey-Bordeaux'],"The Air Jordan 6 Bordeaux features a two-tone black and grey Durabuck upper just like the original Jordan 7 Bordeaux. From there, the signature Bordeaux geometric pattern is prominent on the inner-facing tongue and sock liner. Jumpman embroidery on the heel and a semi-translucent outsole complete the retro look.",$220.00 ,$220.00 ,2021-09-04,https://stockx.com/air-jordan-6-retro-bordeaux
adidas Yeezy Slide Green Glow/Green Glow/Green Glow,adidas,sneakers,['Green Glow/Green Glow/Green Glow'],"Constructed of bright Glow Green EVA foam, the adidas Yeezy Slide Glow Green provides lightweight durability with a luminous look. From there, strategic groove placement on the underfoot enhances traction and comfort.",$166.00 ,$166.00 ,2021-09-06,https://stockx.com/adidas-yeezy-slide-glow-green
Nike Dunk Low University Red/White-Total Orange,Nike,sneakers,['University Red/White-Total Orange'],The Nike Dunk Low Championship Red features a University Red leather upper with white leather overlays and Swooshes. A matching sole and woven tongue label adds the finishing touches to this retro design.,$205.00 ,$222.00 ,2021-09-28,https://stockx.com/nike-dunk-low-university-red-2021
Jordan 1 Retro High OG White/Multi-Color-Total Orange,Jordan,sneakers,['White/Multi-Color-Total Orange'],Jordan Brand encourages sneaker customization with the Air Jordan 1 Prototype.,$180.00 ,$226.00 ,2021-09-24,https://stockx.com/air-jordan-1-high-og-prototype
Jordan 4 Retro White/Tech Grey-Black-Fire Red,Jordan,sneakers,['White/Tech Grey-Black-Fire Red'],"The Air Jordan 4 Retro White Oreo features a white leather and mesh upper with hits of Tech Grey on its eyelets and midsole. From there, a red Jumpman logo is embroidered on the tongue, adding a pop of color to the neutral-toned design.",$414.00 ,$457.00 ,2021-07-03,https://stockx.com/air-jordan-4-retro-white-oreo-2021
Nike Dunk High White/Midnight Navy,Nike,sneakers,['White/Midnight Navy'],"Also known as the Nike Dunk High Villanova, the Nike Dunk High Championship Navy displays classic color-blocking with a white leather upper and Championship Navy overlays. From there, a matching woven tongue label and sole complete the retro design.",$203.00 ,$203.00 ,2021-10-08,https://stockx.com/nike-dunk-high-midnight-navy
adidas Yeezy 450 Dark Slate/Dark Slate,adidas,sneakers,['Dark Slate/Dark Slate'],"With a simplified two-piece construction, the adidas Yeezy 450 Dark Slate features Dark Slate foam sole that clasps a monochromatic sock-like Primeknit upper. From there, thick rope laces add the finishing touches.",$284.00 ,$295.00 ,2021-06-26,https://stockx.com/adidas-yeezy-450-dark-slate
New Balance 2002R Rain Cloud/Grey,New Balance,sneakers,['Rain Cloud/Grey'],"The New Balance 2002R Protection Pack Rain Cloud features a grey mesh upper with tonal jagged suede overlays and a reflective New Balance logo. From there, a cream Nrgy midsole and grey outsole complete the design.",$431.00 ,$450.00 ,2021-08-20,https://stockx.com/new-balance-m2002-protection-pack-rain-cloud
Crocs Pollex Clog Cucumber,Crocs,sneakers,['Cucumber'],"In a monochromatic Cucumber color scheme, the Crocs Pollex Clog Salehe Bembury Cucumber is composed of dramatic, fingerprint-like concave ridges, allowing for multi-directional traction. While the design doesn’t have nearly as many holes as a traditional Croc, the remaining holes serve a purpose: they are located on high-heat areas of the foot for increased breathability. A removable canvas strap at the ankle provides wearers with options for styling.",$383.00 ,$541.00 ,2021-12-14,https://stockx.com/crocs-pollex-clog-by-salehe-bembury-cucumber
Jordan 1 Mid Black/University Red-Black-White,Jordan,sneakers,['Black/University Red-Black-White'],The Air Jordan 1 Mid Banned (2020) takes the classic Banned colorway of the high-top Jordan 1 and applies it to the mid-cut sneaker.,$165.00 ,$200.00 ,2020-11-12,https://stockx.com/air-jordan-1-mid-banned-2020
Jordan 1 Low OG White/Neutral Grey-Particle Grey,Jordan,sneakers,['White/Neutral Grey-Particle Grey'],"Arriving in its original form, the Air Jordan 1 Low OG Neutral Grey features a white leather upper with Neutral Grey Durabuck Swooshes. A white and Neutral Grey sole completes the design.",$215.00 ,$230.00 ,2021-06-24,https://stockx.com/air-jordan-1-low-og-neutral-grey
Nike Dunk Low Yellow Strike/Yellow Strike-White,Nike,sneakers,['Yellow Strike/Yellow Strike-White'],The women's Nike Dunk Low Yellow Strike (W) features a white leather upper with pale yellow blotted overlays and plush Yellow Strike suede Swooshes. Matching two-tone soles and woven tongue labels carry this pastel palette across the finish line. The women's Nike Dunk Low Yellow Strike (W) released in August of 2021 and retailed for $110.,$145.00 ,$145.00 ,2021-08-18,https://stockx.com/nike-dunk-low-yellow-strike-w
Jordan 1 Retro AJKO Storm Blue/White-Black,Jordan,sneakers,['Storm Blue/White-Black'],"In a traditional AJKO canvas fabrication, the Air Jordan 1 KO Storm Blue features a white upper with Storm Blue overlays and black Swooshes. From there, a matching woven Nike Air tongue label and sole completes the retro design.",$185.00 ,$185.00 ,2021-09-29,https://stockx.com/air-jordan-1-retro-ko-high-storm-blue
Jordan 1 Retro AJKO Ghost Green/Ghost Green,Jordan,sneakers,['Ghost Green/Ghost Green'],"Jordan teamed up with pop icon Billie Eilish to release two signature Air Jordan Retro silhouettes in the fall of 2021. The first of the two, the women's Air Jordan 1 AJKO Billie Eilish Ghost Green (W), draws a resemblance to one of Eilish's most well-known hairstyles and motifs.",$190.00 ,$190.00 ,2021-09-30,https://stockx.com/air-jordan-1-retro-ajko-billie-eilish-ghost-green-w
New Balance 2002R Rain Cloud/Grey,Nike,sneakers,['Rain Cloud/Grey'],"The New Balance 2002R Protection Pack Rain Cloud features a grey mesh upper with tonal jagged suede overlays and a reflective New Balance logo. From there, a cream Nrgy midsole and grey outsole complete the design.",$500.00 ,$500.00 ,2021-08-20,https://stockx.com/new-balance-m2002-protection-pack-rain-cloud
adidas Yeezy Boost 700 Wash Orange/Wash Orange/Wash Orange,adidas,sneakers,['Wash Orange/Wash Orange/Wash Orange'],"The adidas Yeezy Boost 700 Wash Orange features a grey leather, suede, and mesh upper with teal panels and reflective underlays. At the base, a thick Wash Orange Boost midsole contrasts cool tones found in the upper.",$255.00 ,$275.00 ,2021-10-16,https://stockx.com/adidas-yeezy-boost-700-wash-orange
Jordan 12 Retro White/Black-University Red,Jordan,sneakers,['White/Black-University Red'],"The Air Jordan 12 Twist features a white tumbled leather paneled upper with a pebbled leather mudguard. From there, red metallic Jumpman side tabs and eyelets, black woven heel tabs, and a sculptural sole completes the design.",$261.00 ,$261.00 ,2021-07-24,https://stockx.com/air-jordan-12-retro-twist
Nike LD Waffle SF Blue Void/White-Obsidian-White,Nike,sneakers,['Blue Void/White-Obsidian-White'],"The Nike LDWaffle sacai Fragment Blue Void combines the best of both sacai and Fragment's aesthetics. The mesh, leather, and suede construction of the LDWaffle represents sacai's experimental outlook, while the black and Blue Void palette is more reserved, similar to the utilitarian look that many of Fragment's collaborations have.",$251.00 ,$332.00 ,2021-08-27,https://stockx.com/nike-ld-waffle-sf-sacai-fragment-grey-blue-void
Nike Dunk Low White/Green Glow-White,Nike,sneakers,['White/Green Glow-White'],"After releasing the Nike Dunk Low Orange Pearl (W) and Nike Dunk Low College Navy (W) in the spring of 2021, Nike delivered yet another women’s exclusive Dunk Low this season with the Nike Dunk Low Green Glow (W). While the Green Glow is the first of its kind, its usage of traditional Dunk color blocking adds a familiarity to the design. The upper of the Nike Dunk Low Green Glow (W) is composed of white leather with Green Glow leather overlays and Swoosh logos. From there, a woven Nike label is sewn to the tongue and a white “NIKE” is embroidered on the heel. A white midsole and Green Glow outsole completes the design. The women's Nike Dunk Low Green Glow (W) released in April of 2021 and retailed for $100.",$198.00 ,$260.00 ,2021-04-16,https://stockx.com/nike-dunk-low-green-glow-w
Jordan 1 Retro High OG Seafoam/Healing Orange-White,Jordan,sneakers,['Seafoam/Healing Orange-White'],"The women's Air Jordan 1 High Seafoam (W) arrives in a smooth white leather construction with Seafoam Durabuck overlays and Swooshes. On the laces, crisp bronze trimming stands out against the design's subtle coloration. The women's Air Jordan 1 High Seafoam (W) released in August of 2021 and retailed for $170.",$312.00 ,$312.00 ,2021-08-12,https://stockx.com/air-jordan-1-high-og-seafoam-w
Nike LD Waffle Net/Orange Blaze-Deep Red-Green Bean,Nike,sneakers,['Net/Orange Blaze-Deep Red-Green Bean'],"Taking cues from the Nike Air Max 1 CLOT Kiss of Death, the Nike LDWaffle sacai CLOT Orange Blaze boasts an off-white translucent and suede upper with Deep Red and Orange Blaze snake-textured Swooshes. From there, a two-toned stacked sole and doubled tongue amplify sacai's unique design aesthetic.",$185.00 ,$185.00 ,2021-09-14,https://stockx.com/nike-ldwaffle-clot-sacai-net-orange-blaze
adidas Yeezy Boost 700 MNVN Blue Tint/Black,adidas,sneakers,['Blue Tint/Black'],The adidas Yeezy Boost 700 MNVN Blue Tint features a Blue Tint nylon upper with reflective graphics and details throughout the design. A thick black Boost sole and tongue adds the finishing touches to the hiking-inspired design.,$260.00 ,$260.00 ,2021-07-05,https://stockx.com/adidas-yeezy-boost-700-mnvn-blue-tint
Jordan 12 Retro Black/Black-Bright Crimson-White,Jordan,sneakers,['Black/Black-Bright Crimson-White'],"With black leather and Durabuck paneled construction, the upper of the Air Jordan 12 Utility sets the stage for its glittery sole to shine. The sole is composed of Nike Grind, a material made of a collection of recycled materials originating from leftover Nike manufacturing materials.",$221.00 ,$232.00 ,2021-08-21,https://stockx.com/air-jordan-12-retro-utility
Nike Dunk Low Midnight Navy/Championship Grey-White,Nike,sneakers,['Midnight Navy/Championship Grey-White'],"The Nike Dunk Low Georgetown arrives with a smooth grey leather upper with Midnight Navy overlays and Swooshes. From there, matching woven Nike Air tongue tags, heel tabs, and Air soles complete the retro design.",$287.00 ,$287.00 ,2021-11-05,https://stockx.com/nike-dunk-low-georgetown
adidas Yeezy 500 Clay Brown/Clay Brown/Clay Brown,adidas,sneakers,['Clay Brown/Clay Brown/Clay Brown'],The adidas Yeezy 500 Clay Brown presents an array of materials commonly found in hiking shoes designed to withstand the great outdoors. It is constructed of a Clay Brown mesh upper with leather and suede overlays that wrap the silhouette. A sturdy adiPRENE sole adds a responsive feel to the trail-ready design.,$234.00 ,$234.00 ,2021-09-18,https://stockx.com/adidas-yeezy-500-clay-brown
Jordan 4 Retro University Blue/Tech Grey-White-Black,Jordan,sneakers,['University Blue/Tech Grey-White-Black'],Jordan Brand paid homage to MJ’s alma mater with the Air Jordan 4 University Blue. The University Blue colorway draws a close resemblance to the extremely rare Air Jordan 4 UNC PE that was given to Tarheel student-athletes in 2019.,$636.00 ,$636.00 ,2021-04-28,https://stockx.com/air-jordan-4-retro-university-blue
adidas Yeezy Slide Pure/Pure/Pure,adidas,sneakers,['Pure/Pure/Pure'],DISCLAIMER: US and UK sizing is the same and does not require any conversion.,$165.00 ,$211.00 ,2021-04-26,https://stockx.com/adidas-yeezy-slide-pure
Jordan 6 Retro Black/Light Graphite-Dark Grey-Bordeaux,Jordan,sneakers,['Black/Light Graphite-Dark Grey-Bordeaux'],"The Air Jordan 6 Bordeaux features a two-tone black and grey Durabuck upper just like the original Jordan 7 Bordeaux. From there, the signature Bordeaux geometric pattern is prominent on the inner-facing tongue and sock liner. Jumpman embroidery on the heel and a semi-translucent outsole complete the retro look.",$225.00 ,$208.00 ,2021-09-04,https://stockx.com/air-jordan-6-retro-bordeaux
adidas Yeezy Foam RNNR Vermillion/Vermillion/Vermillion,adidas,sneakers,['Vermillion/Vermillion/Vermillion'],"The adidas Yeezy Foam RNNR Vermillion features an all-red one piece EVA foam construction with oval cut-outs to provide ventilation. At the base, a cushioned footbed offers support and stability.",$331.00 ,$331.00 ,2021-10-29,https://stockx.com/adidas-yeezy-foam-rnnr-vermillion
adidas Yeezy Slide Green Glow/Green Glow/Green Glow,adidas,sneakers,['Green Glow/Green Glow/Green Glow'],"Constructed of bright Glow Green EVA foam, the adidas Yeezy Slide Glow Green provides lightweight durability with a luminous look. From there, strategic groove placement on the underfoot enhances traction and comfort.",$155.00 ,$155.00 ,2021-09-06,https://stockx.com/adidas-yeezy-slide-glow-green
Jordan 4 Retro White/Tech Grey-Black-Fire Red,Jordan,sneakers,['White/Tech Grey-Black-Fire Red'],"The Air Jordan 4 Retro White Oreo features a white leather and mesh upper with hits of Tech Grey on its eyelets and midsole. From there, a red Jumpman logo is embroidered on the tongue, adding a pop of color to the neutral-toned design.",$414.00 ,$460.00 ,2021-07-03,https://stockx.com/air-jordan-4-retro-white-oreo-2021
Jordan 1 Retro High OG White/Multi-Color-Total Orange,Jordan,sneakers,['White/Multi-Color-Total Orange'],Jordan Brand encourages sneaker customization with the Air Jordan 1 Prototype.,$180.00 ,$190.00 ,2021-09-24,https://stockx.com/air-jordan-1-high-og-prototype
Nike Dunk High White/Midnight Navy,Nike,sneakers,['White/Midnight Navy'],"Also known as the Nike Dunk High Villanova, the Nike Dunk High Championship Navy displays classic color-blocking with a white leather upper and Championship Navy overlays. From there, a matching woven tongue label and sole complete the retro design.",$177.00 ,$177.00 ,2021-10-08,https://stockx.com/nike-dunk-high-midnight-navy
Nike Dunk Low University Red/White-Total Orange,Nike,sneakers,['University Red/White-Total Orange'],The Nike Dunk Low Championship Red features a University Red leather upper with white leather overlays and Swooshes. A matching sole and woven tongue label adds the finishing touches to this retro design.,$208.00 ,$210.00 ,2021-09-28,https://stockx.com/nike-dunk-low-university-red-2021
adidas Yeezy 450 Dark Slate/Dark Slate,adidas,sneakers,['Dark Slate/Dark Slate'],"With a simplified two-piece construction, the adidas Yeezy 450 Dark Slate features Dark Slate foam sole that clasps a monochromatic sock-like Primeknit upper. From there, thick rope laces add the finishing touches.",$371.00 ,$371.00 ,2021-06-26,https://stockx.com/adidas-yeezy-450-dark-slate